date,hour,miniute,end,meannumber
4,1,30,13,23.61788618
4,1,30,14,20.3699187
4,1,30,15,18.33333333
4,1,30,16,19.39227642
4,1,30,17,28.18292683
4,1,30,18,18.52845528
4,1,30,19,14.07317073
4,1,30,20,16.82723577
4,1,30,21,20.2703252
4,1,30,22,13.53252033
4,1,30,23,20.06707317
4,1,30,24,19.81707317
4,2,0,9,28.94512195
4,2,0,10,23.34349593
4,2,0,11,22.51422764
4,2,0,12,29.27439024
4,2,0,13,19.7195122
4,2,0,14,17.25813008
4,2,0,15,14.67479675
4,2,0,16,16.47357724
4,2,0,17,23.66056911
4,2,0,18,15.07113821
4,2,0,19,11.57113821
4,2,0,20,14.35162602
4,2,0,21,16.42073171
4,2,0,22,10.79878049
4,2,0,23,15.81504065
4,2,0,24,15.8902439
4,2,30,9,24.95121951
4,2,30,10,18.35772358
4,2,30,11,16.17073171
4,2,30,12,24.76829268
4,2,30,13,16.1300813
4,2,30,14,14.13211382
4,2,30,15,11.77642276
4,2,30,16,13.34552846
4,2,30,17,19.42479675
4,2,30,18,12.32317073
4,2,30,19,9.150406504
4,2,30,20,12.07723577
4,2,30,21,13.95528455
4,2,30,22,8.894308943
4,2,30,23,13.99593496
4,2,30,24,14.2398374
4,3,0,9,20.1402439
4,3,0,10,14.98170732
4,3,0,11,13.44308943
4,3,0,12,21.29065041
4,3,0,13,13.98373984
4,3,0,14,12.09552846
4,3,0,15,10.58333333
4,3,0,16,11.69918699
4,3,0,17,17.58333333
4,3,0,18,11.09349593
4,3,0,19,8.408536585
4,3,0,20,11.09552846
4,3,0,21,12.59349593
4,3,0,22,8.203252033
4,3,0,23,13.42682927
4,3,0,24,14.00609756
4,3,30,9,17.86788618
4,3,30,10,13.13414634
4,3,30,11,11.90447154
4,3,30,12,19.37804878
4,3,30,13,12.68292683
4,3,30,14,11.01626016
4,3,30,15,9.780487805
4,3,30,16,10.89837398
4,3,30,17,17.86585366
4,3,30,18,11.26422764
4,3,30,19,8.479674797
4,3,30,20,11.31300813
4,3,30,21,12.81707317
4,3,30,22,7.682926829
4,3,30,23,14.33943089
4,3,30,24,14.77642276
4,4,0,9,19.2195122
4,4,0,10,13.37195122
4,4,0,11,11.67276423
4,4,0,12,19.46747967
4,4,0,13,12.61788618
4,4,0,14,11.33333333
4,4,0,15,10.57520325
4,4,0,16,10.77845528
4,4,0,17,20.10569106
4,4,0,18,12.24796748
4,4,0,19,9.451219512
4,4,0,20,12.44918699
4,4,0,21,13.83943089
4,4,0,22,7.87398374
4,4,0,23,18.11382114
4,4,0,24,18.8597561
4,4,30,9,23.7195122
4,4,30,10,17.91463415
4,4,30,11,15.62601626
4,4,30,12,24.1097561
4,4,30,13,16.02439024
4,4,30,14,14.2601626
4,4,30,15,14.87195122
4,4,30,16,13.67682927
4,4,30,17,25.25
4,4,30,18,14.0203252
4,4,30,19,11.27439024
4,4,30,20,14.21747967
4,4,30,21,15.81707317
4,4,30,22,8.302845528
4,4,30,23,21.49186992
4,4,30,24,21.85365854
4,5,0,9,30.69105691
4,5,0,10,24.38617886
4,5,0,11,21.48780488
4,5,0,12,31.32520325
4,5,0,13,19.92479675
4,5,0,14,18.11382114
4,5,0,15,19.43495935
4,5,0,16,17.88821138
4,5,0,17,33.38211382
4,5,0,18,17.67682927
4,5,0,19,15.77845528
4,5,0,20,18.90650407
4,5,0,21,22.06504065
4,5,0,22,9.587398374
4,5,0,23,29.50406504
4,5,0,24,29.55894309
4,5,30,9,47.19512195
4,5,30,10,39.37398374
4,5,30,11,34.07926829
4,5,30,12,48.35772358
4,5,30,13,31.20934959
4,5,30,14,28.65650407
4,5,30,15,34.84756098
4,5,30,16,30.06504065
4,5,30,17,53.50609756
4,5,30,18,27.13617886
4,5,30,19,29.02845528
4,5,30,20,28.81707317
4,5,30,21,32.96341463
4,5,30,22,12.02439024
4,5,30,23,36.51219512
4,5,30,24,38.31504065
4,6,0,9,74.72357724
4,6,0,10,67.0304878
4,6,0,11,58.26422764
4,6,0,12,90.31097561
4,6,0,13,59.11585366
4,6,0,14,54.72560976
4,6,0,15,70.3597561
4,6,0,16,57.38821138
4,6,0,17,83.53455285
4,6,0,18,46.12601626
4,6,0,19,52.90447154
4,6,0,20,47.17073171
4,6,0,21,56.02642276
4,6,0,22,16.43089431
4,6,0,23,48.44715447
4,6,0,24,55.70731707
4,6,30,9,148.804878
4,6,30,10,136.5304878
4,6,30,11,113.8760163
4,6,30,12,208.5955285
4,6,30,13,127.7296748
4,6,30,14,119.2479675
4,6,30,15,159.254065
